,Name,Duration,Genre,Rating,No. of Ratings,No. of Episodes,Creators,Stars,Reviews (Users),Reviews (Critics),Seasons,Storyline,Language,Release Date
0,The Family Man,45min,"['Action', 'Comedy', 'Drama']",8.8,57797,19,"['Krishna D.K.', 'Raj Nidimoru']","['Manoj Bajpayee', 'Samantha Akkineni', 'Priyamani']",1328,18,2,"The Family Man is an edgy action-drama series, which tells the story of a middle-class man who works for a special cell of the National Investigation Agency. While he tries to protect the nation from terrorists, he also has to protect his family from the impact of his secretive, high-pressure, and low paying job.",Hindi,19 September 2019 (USA)
1,Scam 1992: The Harshad Mehta Story,54min,"['Biography', 'Crime', 'Drama']",9.5,109950,10,,"['Pratik Gandhi', 'Shreya Dhanwanthary', 'Hemant Kher']",3316,11,1,"Set in early 90's Bombay, Scam 1992: The Harshad Mehta Story captures the meteoric rise and fall of Harshad Mehta- the flamboyant big bull of the stock market. When feisty financial journalist Sucheta Dalal exposed him as the man behind India's biggest financial scam of the time, it shook the nation.",Hindi,9 October 2020 (USA)
2,Broken But Beautiful,22min,"['Drama', 'Romance']",9.2,11773,31,,"['Vikrant Massey', 'Harleen Sethi', 'Jitin Gulati']",1376,4,3,"The third season is the story of Agastya Rao and Rumi Desai - two people from very different worlds. Not only are their worlds poles apart, they are also a complete contrast to each other. He is a struggling artist, she is a poor little rich girl. But unfortunately opposites attract. Agy and Rumi both knew what they wanted, but not what they needed. Eventually, they both experience love, and heartbreak. Love came looking for them, when they were chasing their own personal obsessions. And their journey comes a full circle when they both realise that it is to harder to fall out of love, than to fall in it.",Hindi,27 November 2018 (India)
3,Aspirants,45min,['Drama'],9,269906,5,"['Arunabh Kumar', 'Shreyansh Pandey']","['Naveen Kasturia', 'Shivankit Singh Parihar', 'Abhilash Thapliyal']",6140,44,1,"Aspirants is a story of 3 friends - Abhilash, Shwetketu(SK) and Guri. The story revolves around the past and the present time where the past captures the struggle and the drama behind the making of UPSC CSE aspirants in Old Rajinder Nagar of Delhi, while the present talks about the aftermath. It is the story of three UPSC aspirant's journey and most importantly - their friendship besides all odds!",Hindi,7 April 2021 (USA)
4,Maharani,,['Drama'],7.5,4450,10,['Subhash Kapoor'],"['Huma Qureshi', 'Sohum Shah', 'Amit Sial']",228,5,1,"A political drama set in Bihar of 1990's. With its caste arithmetic, traditional satraps and the emerging voice...will an illiterate woman Rani Bharti (Huma Qureshi) survive this? Rani Bharti (Huma Qureshi) is a homemaker and the wife of Bihar's chief minister Bheema (Sohum Shah). All she cares about is her house and her husband. She wants to pack her bags and go back to the village after her husband resigns from the post of Bihar's CM. But her life takes a turn when her husband and Bihar's CM is made to announce the name of his successor. While his party members look excited to hear who has been appointed, he makes Rani his successor, leaving everyone surprised.",Hindi,28 May 2021 (India)
5,Sunflower,,"['Comedy', 'Crime']",8,3964,8,['Vikas Bahl'],"['Sunil Grover', 'Mukul Chadda', 'Radha Bhatt']",269,4,1,"Sunflower is a housing society with its fair share of comedic characters. But none more hairbrained and awkward than simpleton Sonu. He dives headlong into the centre of a murder investigation of a society resident, and in no time manages to become the chief suspect. Around him, the real murderers, a resident couple in Sunflower itself, tread cautiously. Will they get away as Sonu keeps digging his own grave? As the investigation escalates, the hypocritical society members worry about their beloved society losing its good old glory. But the problem is the next generation's ways are neither good nor old. Late night parties, suspected lesbians and tattooed tenants will surely make Sunflower wither, they say. Between Sonu tightening the noose around his own neck, the murderers living on the edge and the society trying to uplift its society's values, Sunflower is a quirky murder mystery in a comedy of errors.
Written by
Promita Mukherjee",Hindi,11 June 2021 (USA)
6,Mirzapur,1h,"['Action', 'Crime', 'Drama']",8.4,57618,19,"['Puneet Krishna', 'Karan Anshuman']","['Pankaj Tripathi', 'Ali Fazal', 'Divyendu Sharma']",1117,15,2,"The iron-fisted Akhandanand Tripathi is a millionaire carpet exporter and the mafia don of Mirzapur. His son, Munna, is an unworthy, power-hungry heir who will stop at nothing to inherit his father's legacy. An incident at a wedding procession forces him to cross paths with Ramakant Pandit, an upstanding lawyer, and his sons, Guddu and Bablu. It snowballs into a game of ambition, power and greed that threatens the fabric of this lawless city!",Hindi,15 November 2018 (USA)
7,November Story,40min,"['Crime', 'Thriller']",8,4863,7,['Indhra Subramaniam'],"['Tamannaah Bhatia', 'G.M. Kumar', 'Pasupathy']",207,3,1,"A celebrated crime novelist suffering from Alzheimer's is found at a murder scene with no memory of what happened. Now, it is up to his daughter to save him.",Tamil,19 May 2021 (USA)
8,The Last Hour,36min,"['Crime', 'Drama', 'Mystery']",7.6,4972,8,"['Amit Kumar', 'Anupama Minz']","['Sanjay Kapoor', 'Karma Takapa', 'Shaylee Krishen']",374,3,1,"A mysterious young shaman, on the run protecting a secret gift, joins hands with a seasoned city cop to hunt down a dangerous figure from his dark past. But when he falls for the cop's young daughter, he is torn between duty and love.",,13 May 2021 (USA)
9,Sacred Games,50min,"['Action', 'Crime', 'Drama']",8.6,79210,16,['Varun Grover'],"['Saif Ali Khan', 'Nawazuddin Siddiqui', 'Neeraj Kabi']",811,26,2,"Sartaj Singh, a Mumbai police officer, receives an anonymous phone call from a gangster who threatens to blow up the entire city. Amid the corrupt standards of Indian law enforcement begins a battle between a 'nobody' cop and ruthless gangster who perceives (sometimes) himself to be a God.
Written by
Cinema Theories",Hindi,6 July 2018 (USA)
10,Special OPS,49min,"['Action', 'Crime', 'Thriller']",8.6,22696,8,['Neeraj Pandey'],"['Kay Kay Menon', 'Karan Tacker', 'Gautami Kapoor']",642,8,1,The series follows Himmat Singh of Research and Analysis Wing who draws similar patterns in terrorist attacks and is convinced a single person is behind all the attacks. His task force team of five agents living in various parts of the world aim to catch the mastermind. The story is based on an inspiration taken from nineteen years worth of national significant events.,Hindi,16 March 2020 (USA)
11,Asur: Welcome to Your Dark Side,43min,"['Crime', 'Drama', 'Mystery']",8.5,32227,8,['Gaurav Shukla'],"['Arshad Warsi', 'Barun Sobti', 'Riddhi Dogra']",3301,12,1,"A psychopath killer with a twisted philosophy deep-seated in Indian mythology is on the loose. Two forensic officers from the CBI are close on heals to catch the serial killer but with a twist of fate, they get caught in a dreadful situation. How will this end? Will the real face of this ASUR be revealed?",Hindi,2 March 2020 (India)
12,Paatal Lok,44min,"['Crime', 'Drama', 'Thriller']",7.8,44651,9,['Sudip Sharma'],"['Jaideep Ahlawat', 'Neeraj Kabi', 'Ishwak Singh']",1391,13,1,"A down and out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a prime time journalist. The case turns out to be a devious maze where nothing is what it looks like. The pursuit of it leads him to the dark netherworld - the 'Paatal Lok', and to shocking discoveries in the past of the four suspects.",Hindi,15 May 2020 (USA)
13,Kota Factory,45min,"['Comedy', 'Drama']",9.2,50646,6,['Saurabh Khanna'],"['Mayur More', 'Jitendra Kumar', 'Ranjan Raj']",376,1,2,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",Hindi,16 April 2019 (India)
14,Panchayat,35min,"['Comedy', 'Drama']",8.8,40710,8,,"['Jitendra Kumar', 'Raghuvir Yadav', 'Chandan Roy']",1002,63,1,"Panchayat is a comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a panchayat office in a remote village of Uttar Pradesh. Stuck between crazy villagers and a difficult village lifestyle Abhishek starts his job with the sole motivation of getting out of there as soon as possible, for which he even prepares for CAT.",Hindi,5 March 2020 (USA)
15,Ray,,"['Drama', 'Thriller']",,,4,['Sayantan Mukherjee'],"['Bidita Bag', 'Manoj Bajpayee', 'Ali Fazal']",,,1,"From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series.",Hindi,25 June 2021 (India)
16,Flames,20min,"['Comedy', 'Drama', 'Romance']",9.2,24708,10,,"['Ritvik Sahore', 'Tanya Maniktala', 'Sunakshi Grover']",564,1,2,"FLAMES #PadhaiAurPyaar is the story of a young romance unfolding as a chemical reaction. Class topper Rajat falls for Ishita, the new girl in the tuition centre. Rajat's BFFs, Pandey and Anusha's friendship is beginning to turn into a relationship. The equations of friendships evolve in the first season of this teenage romance. This web series takes you to the time when everything seemed innocent - when the idea of spending time with your crush meant helping them finish their homework. The rosy teenage days when finding love and topping exams were the only aims in life.",Hindi,5 January 2018 (India)
17,Indori Ishq,25min,"['Comedy', 'Drama', 'Romance']",7.6,982,9,,"['Ritvik Sahore', 'Vedika Bhandari', 'Aashay Kulkarni']",27,3,1,"The story begins with amusing attempts of twelfth-grader, Kunal, to woo his classmate, Tara. Kunal finally manages to propose to Tara and their love story begins. After his schooling, Kunal leaves Indore and moves to Mumbai to join a Naval College. Soon his sober life turns upside-down when Tara dumps him for someone else. In no time, Kunal turns into an alcoholic and chain smoker, and without taking admission in the naval college, he moves to a weird rundown room in Darukhana, spending days doing nothing but drinking, smoking, and missing Tara.",Hindi,10 June 2021 (India)
18,Criminal Justice,50min,"['Crime', 'Drama', 'Mystery']",8.1,12078,10,,"['Vikrant Massey', 'Pankaj Tripathi', 'Rucha Inamdar']",241,3,1,"The series revolves around Vikrant's character Aditya who was charged for murder. One night in Mumbai, a girl hired his taxi and ended up having a one night stand under the influence of drugs. When he woke up the girl was dead with a stab in her back and knife in Aditya's hand. This resulted him accused for murder and rejection of bail. The remaining plot is how he goes through the criminal justice system and prove his innocence.
Written by
pbeeresh",Hindi,2 January 2019 (India)
19,Breathe,45min,"['Drama', 'Thriller']",8.3,17098,8,,"['Madhavan', 'Amit Sadh', 'Sapna Pabbi']",247,6,1,"Breathe is an Indian drama that explores the lives of ordinary men faced with extraordinary circumstances. Kabir (Sadh), a brilliant but non-conventional officer of the Crime Branch, puts the pieces together of seemingly unconnected deaths that lead to an unlikely suspect - the affable Danny (R.Madhavan). Kabir will not stop till he cracks the case and delivers justice..",Hindi,26 January 2018 (India)
20,Delhi Crime,50min,"['Crime', 'Drama']",8.5,15157,8,['Richie Mehta'],"['Shefali Shah', 'Rajesh Tailang', 'Rasika Dugal']",216,8,2,"It is based on the true-life investigation about a brutal gang rape in India. The case had enormous impact, paving the way for the introduction of stricter laws so the victim's voice will finally be heard in this developing nation.
Written by
Richie Mehta",English,22 March 2019 (USA)
21,Undekhi,32min,['Crime'],8.2,4233,10,['Siddharth Sengupta'],"['Harsh Chhaya', 'Dibyendu Bhattacharya', 'Abhishek Chauhan']",215,3,1,"Set in West Bengal, the teaser begins with a couple of police officers investigating a murder in the jungle of Sunderbans. They visit along with locals to find a mutilated dead body of a cop named Dibakar Sarkar.When a dead body is received, locals inform Dibyendu Bhattacharya, who is investigating the case, that the body is at least 2-3 days old. They also find out the body was murdered first and then eaten by animals. They also learn the fact that 2 girls are missing from a nearby tribal village.",Hindi,10 July 2020 (India)
22,Breathe: Into the Shadows,46min,"['Drama', 'Thriller']",7.7,13133,12,,"['Abhishek Bachchan', 'Nithya Menen', 'Amit Sadh']",834,13,1,"A 6-year-old is kidnapped by a mysterious masked man, who demands an unusual ransom. To save his daughter, Dr. Avinash Sabharwal must kill someone. Meanwhile, Kabir Sawant's journey continues in the hostile environment of the Delhi Crime branch. Lies, deceit and mind games begin when Kabir is given charge of the investigation, and meets Avinash. How far will Avinash go to save his daughter?
Written by
Abundantia Entertainment",,10 July 2020 (India)
